,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.0788797613880498,0.001238182891839591,0.0015239745193265253,0.003244206788925378,0.0006364622746262556,0.0005419668772455351,0.012011658781069733,0.001581369838922203,0.0010287790934559156,0.005058241229444921,0.017986038745972658,0.007553077396830005,0.0020082798305696447,0.0007866334970326215,0.0009706706064905935,0.0006278240054785583,0.0005042225568156732,0.0006259795626874856,0.4661676199378009,0.34919281386774575,0.005428179806085516,0.025348599450605865,0.002123540540652253,0.003744725942958485,0.006443362769947234,0.0025859725659820305,0.002157855233438922
Thick_A,0.09452527732938888,0.006030736585372004,0.004440076065128598,0.0578245547730728,0.004121777368482299,0.0024068003591857868,0.062451176065975056,0.011071162390852225,0.010148274056944793,0.02290885439771286,0.011904239221690911,0.006542848382939755,0.0022884263479550945,0.0017364565280826275,0.002171325712898013,0.001759384667476605,0.0014218802904138717,0.0021623002453788126,0.35269353235761697,0.05911552238174948,0.04091951267209546,0.1801825892523235,0.007818695235612707,0.006972588030965325,0.03668718508583714,0.005334322345435226,0.004360501849413219
EC_B,0.044517976309335044,0.006602800883765454,0.006772440985689153,0.029698105917977096,0.005441509389791758,0.00488274842586604,0.09288776822934865,0.020897738875397125,0.05625566307996457,0.03176769477998688,0.017757944699379222,0.015676666057343226,0.003314488068955458,0.004119733724689266,0.018161784399266863,0.004545459319641673,0.0049670273416735095,0.021498234683561664,0.08839856577363235,0.08095543554019255,0.008322732445354348,0.12319576464339313,0.007697591100026678,0.006491604019024623,0.28301435483875925,0.006972120995804321,0.00518604547218004
Thick_B,0.04496689522898516,0.009939744546204748,0.008981063964088081,0.1721435792996726,0.021067194202848444,0.013794973363072694,0.2131043383066642,0.05825395012079806,0.08069710283602176,0.01414914116073834,0.010922607227725239,0.011942764653483475,0.005566359000696028,0.005559556804969293,0.032667700298782736,0.007135672474792655,0.007232447341250928,0.02022609422269318,0.07553252171937505,0.02791387423521289,0.01522652632202715,0.02708399177399091,0.010426548104725679,0.010906657346250348,0.0657027963571706,0.014360271085207935,0.014495628002551844
EC_C,0.00512979511798335,0.00029902182008832744,0.00019027709463703213,0.05963824654676286,0.00027299181639171317,0.00035153273026813437,0.8169920970502489,0.0049307340008499,0.0402331169682254,0.0002745509999603242,0.0002114131256654299,0.00021473023899894124,7.489869978833451e-05,7.696629592605087e-05,0.000156397905740103,9.878807859289584e-05,0.00013467789765762996,0.0011966165223914328,0.0032475363995155665,0.0007971609260523013,0.00030447424502499964,0.0004925332694399054,0.0001810961944696924,0.0002806947503665556,0.06319261944849484,0.0005815207592361285,0.00044551109722307697
