,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.08532974227398307,0.0078720719174774,0.005843585057870166,0.004429332884164891,0.002577984177400349,0.002739679946679732,0.01741603372117622,0.006093556949249312,0.004332460462423787,0.02324570697994671,0.07419850575094329,0.01647610792207129,0.005308746236582031,0.0036336751676565547,0.004037060400327555,0.0024390739679839325,0.002210593483412989,0.002933103526542115,0.49717086648949993,0.04632104030312437,0.02288748139347998,0.11879086838675765,0.011689542296606853,0.011802081401311828,0.0104553704191773,0.005112045480030056,0.004653683004120548
Thick_A,0.026556363677388516,0.004290853507557342,0.0027744278411512132,0.005691107957045606,0.0019599664160080913,0.0019744110693509067,0.033634115718726085,0.007627823139063789,0.00811285730137156,0.02770210348238104,0.006808468694175706,0.004383619727707533,0.0020878849949096468,0.0022552205942614166,0.002473244463695941,0.002197114739066107,0.0018492073805834591,0.002575506691638212,0.6352799792439798,0.02482779856034733,0.02634717944578114,0.11339720260887062,0.010233968682692747,0.009332511280709272,0.024153296809795444,0.006293573707642472,0.005180192264098839
EC_B,0.03760485529056277,0.010174837253234065,0.010581950842607648,0.022488827840135582,0.006859650243913768,0.006855147563126438,0.06488579580566226,0.02105934445004473,0.03137248257155721,0.050517454143891784,0.025748781601693298,0.016069299854188777,0.00595653896021673,0.005786509787421122,0.009205843385152391,0.003923271767007472,0.00463385416906121,0.006804222280140293,0.12390669279977055,0.02543411415245884,0.014369728888050399,0.3922589113487529,0.01845682016356715,0.01755152390903553,0.047960396022363815,0.010879052623870396,0.008654092282512873
Thick_B,0.03906813079567686,0.013284066253986,0.012480744549415944,0.10430425687571909,0.021572290612008712,0.018001741956869072,0.19328507066102407,0.04974852991340341,0.06957675585630337,0.028802183659174634,0.016456257247068055,0.014546815411242146,0.009183141981284452,0.01006028567162909,0.016730498154130653,0.011500882476965195,0.010963426573325332,0.020335540605378125,0.08357750213436452,0.03150614563296515,0.02001099762875459,0.05283920856302506,0.019317208569900324,0.017468221190749093,0.07436530194636579,0.02085648923297715,0.02015830584629407
EC_C,0.0025665219169264827,0.0004142425580258343,0.0004669964332809905,0.02107823293212154,0.00036023268014445225,0.0004849093686588611,0.8273739370213201,0.003977605021217392,0.024484899084703315,0.0007557716521784368,0.0005717371124761906,0.0008076617377143937,0.0001617329698455656,0.00020559568857323094,0.0006303049445837409,0.0002020927086318798,0.0004510338431491747,0.002583763007669381,0.008506327653443065,0.001222294347523936,0.00043804011532768566,0.059152111702939804,0.0003355051950744531,0.00029648747110017375,0.0407858775603943,0.0011131809475844218,0.0005729043253912203
