id;Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range;McNeil_rmse;dif
428;ThickB;SL;ECA;1.03;103;8;0.11;1;100;99;7.09452;8.468323066;0.085538617;0.075591305;0.009947312
436;ThickB;SL;ThickA;0.63;63;8;0.11;0.05;1.45;1.4;0.287539;0.193748903;0.138392074;0.126954;0.011438074
444;ThickB;SL;ECB;1.53;153;8;0.11;1;100;99;18.765022;28.26571862;0.285512309;0.291922594;-0.006410285
452;ThickB;SL;ThickB;0.22;22;8;0.11;0.05;2;1.95;0.512398;0.106503863;0.054617366;0.055240533;-0.000623167
460;ThickB;SL;ECC;0.59;59;8;0.11;1;100;99;2.9753;1.208711522;0.012209207;0.008991523;0.003217684
468;ThickB;SH;ECA;1.04;104;8;0.11;1;100;99;7.09452;7.150989121;0.072232213;0.076325201;-0.004092988
476;ThickB;SH;ThickA;1.03;103;8;0.11;0.05;1.45;1.4;0.287539;0.290035917;0.207168512;0.207559714;-0.000391202
484;ThickB;SH;ECB;0.32;32;8;0.11;1;100;99;18.765022;7.287992336;0.073616084;0.061055706;0.012560378
492;ThickB;SH;ThickB;0.23;23;8;0.11;0.05;2;1.95;0.512398;0.109703412;0.05625816;0.057751467;-0.001493307
500;ThickB;SH;ECC;1.84;184;8;0.11;1;100;99;2.9753;4.938094772;0.049879745;0.028041358;0.021838387
