,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05527426942790067,0.004204811713801178,0.002972373246563735,0.005752035918823474,0.0029823640430978833,0.0029648129841750356,0.010180924852147171,0.007367996341196717,0.0059059180657758,0.009857868136721883,0.00798545960094862,0.005972114970027769,0.0027681310264149376,0.002872797230852697,0.002755858260781534,0.00320623633800034,0.0027645551122061395,0.002829100671668547,0.5517131679167113,0.2476132529517836,0.015181344806736672,0.023881132742024618,0.007233018043027622,0.004638699844501548,0.003818910087504364,0.004041977947652854,0.0032608677189531086
Thick_A,0.07842500782266076,0.018248052897099253,0.016026397834473398,0.08047227720447145,0.022905452064239953,0.018338707941817467,0.04425915490535255,0.02822397409114157,0.026652196520245298,0.03307239152746525,0.02393442671513187,0.021217991450938452,0.015238668030461897,0.015284931747926852,0.014538422405158591,0.014955966630334744,0.015290428941251464,0.016073507988412554,0.16886295963362646,0.08971197954569379,0.044642860342628835,0.06487305388408712,0.031888627378903425,0.023668813346474964,0.03100244364461417,0.023612711126529785,0.018578594378858077
EC_B,0.024608087655920263,0.011086287490609883,0.010779371860131833,0.024604721224960296,0.01229315280789896,0.010573936837556957,0.0644628171886675,0.05201229043305879,0.04561494531335023,0.02332099051805624,0.015624072468940351,0.01362817893385137,0.010134415490842642,0.010038505992957681,0.009930132637471266,0.009650779439843493,0.009960057537912506,0.010648457127893701,0.08373061199366003,0.06013864622803724,0.023177922069479207,0.07655445097385079,0.033345198369000066,0.021796432164079112,0.2636980339193548,0.04095500200687256,0.027632501315742204
Thick_B,0.03348553449024311,0.026215801209408647,0.025661593063556514,0.05811952006600871,0.029588123278563038,0.02402394976150491,0.13471633298587268,0.05323645844621402,0.04642370834983894,0.02990815489598233,0.026665446833358773,0.029248899415462652,0.023403184330530714,0.025231912086907247,0.024036580541559223,0.022698790455801234,0.024019967148916927,0.024805893147229703,0.04514110095922942,0.04109397835072586,0.028411543534480426,0.041883064359375985,0.02983276910383569,0.027087540708716933,0.0551577045106446,0.03798565634507041,0.0319167916209613
EC_C,0.0017347589883418154,0.001147487794544918,0.0012578794085878761,0.008606158478897244,0.0013292372883792745,0.0010627284385712268,0.8086740837876498,0.018205388425470374,0.01634125538974563,0.0025572642418277506,0.0018193059501794635,0.0015506168707018378,0.0009876922089239063,0.0009768013588205959,0.0011371329424657239,0.001000683231918717,0.0012915622376606993,0.001616956364007168,0.01150917601558676,0.006138604422575365,0.0024226734727725444,0.027078312062247017,0.003931794859600592,0.0025745861307894307,0.05305359198105639,0.016322211669226733,0.005672055979451175
