,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05623381770526982,0.004039661527258952,0.0028321479107527624,0.006001254832216403,0.003121688406525468,0.0033606076560768654,0.010840471345489096,0.006544253011302403,0.006277995901915958,0.00995347197640568,0.008430018391603043,0.00569237686171949,0.003203781228930898,0.002614731693954235,0.0029029874293582643,0.002772403596472899,0.0026838727498074105,0.003006847242042765,0.6358212486291204,0.16410453500798883,0.014950636233660119,0.022395814900499068,0.007507496507182377,0.0042782302363164005,0.003741656100447817,0.003605854349011902,0.0030821385686707705
Thick_A,0.07611959330325967,0.01889523831268622,0.016278073093370427,0.0766520844971448,0.02386506176874475,0.016378746931441687,0.04833226369676218,0.028119874674303713,0.025700235681087823,0.0302001670220892,0.023469347765537385,0.018684577985140026,0.01581085726526761,0.01509540890041306,0.015060981352459804,0.015261370139513047,0.015626198914068475,0.015285365385877419,0.16631360356242159,0.09482351460725931,0.045642829845823255,0.06725155993354817,0.03278463669651207,0.022377054204478795,0.030917304891875774,0.024037624114602068,0.02101642545431171
EC_B,0.022381305614822006,0.011128225855338954,0.011318313385399714,0.02249292999871024,0.012422088935226299,0.01015585838253845,0.0659141966930919,0.04345278906117871,0.05319039096216589,0.024065515216538654,0.016309401174462675,0.012971068871031426,0.009679689372921832,0.01002172833758921,0.010732982948050303,0.009613077084894488,0.010186430516217213,0.011528226296223503,0.07870144334622406,0.06027659278847044,0.023972453082674268,0.08138463555705004,0.031882241292170196,0.01984887479674501,0.26202648018671315,0.04575705532658546,0.028586004916965883
Thick_B,0.031286776475063255,0.025970287891717014,0.025358635925698886,0.05660482713191236,0.029174199365622117,0.02492542295216525,0.14057311270732123,0.047050912266269694,0.0501848555063647,0.03079525969855692,0.0288499858091686,0.02626425606884858,0.02263189525453796,0.022934565058002326,0.025161715910202165,0.02315599372469741,0.022893171844128563,0.0263898767044012,0.048489442121436375,0.037597959165555715,0.028681258868439828,0.04312531149769674,0.031785959225037755,0.026677263052513757,0.05397417872583453,0.0388523973502465,0.03061047969856056
EC_C,0.001537549932788685,0.0011375203268922192,0.0012095624375968472,0.008109021334757322,0.001452942566911493,0.0011430687943436606,0.8090918519687426,0.01830396586299171,0.016255121730080153,0.0027639567949570725,0.0016585269108552968,0.001386494909218613,0.0010328290540714403,0.0009164105577234014,0.00104833274650219,0.001035018542477121,0.0012500327418090002,0.0017667158528957036,0.011600512656333373,0.006310448588435299,0.0025128950430865853,0.03288806924050439,0.003190105794463282,0.0024910993970501875,0.049237221157289124,0.014748832357466624,0.0059218926997566
