,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05559711291582594,0.0038454442165964963,0.002750186265757967,0.005117094418733076,0.004218527427625041,0.0030719093533250865,0.010468446173490464,0.007819418080461552,0.00501501059901425,0.010263908434820172,0.00844072754431517,0.006435353334416844,0.002917542081013327,0.0026872564593700887,0.0029194274453340947,0.0027969859185889012,0.0029972489967775616,0.0028552306185432317,0.5109051071351083,0.2876647907381565,0.014998914700490609,0.023926025933954737,0.006328395796328606,0.00484706543403515,0.004322613885308143,0.00348341038380973,0.0033068457087990105
Thick_A,0.08262425271515472,0.018675554426357165,0.01612995322808594,0.08144728272610618,0.019259273921462393,0.017060412265776065,0.04369766558279377,0.03149852592456417,0.022704940139425353,0.030427938650557252,0.02389904261566103,0.021526507844333215,0.016373865975065457,0.015916509656851104,0.015415937111562023,0.016064072562970478,0.01527238166376271,0.01497044197907833,0.17044132225097824,0.09218290683477716,0.043217005886266126,0.06378011461343867,0.031577851213405325,0.02151966303730644,0.02869881904971593,0.024596715844242778,0.021021042280301896
EC_B,0.022264805435192377,0.010488873829114348,0.010349412321299576,0.022731301544961176,0.013335022182951378,0.010483365392568033,0.06414477759953068,0.046081287582230415,0.04986513505540869,0.024645910614639267,0.01623759459274671,0.01384223327839842,0.009975895341100691,0.009769946642028588,0.010975904355083657,0.00995042475959387,0.009958442761263755,0.01181480669543949,0.07777248919718777,0.06599139364324196,0.02224812821807805,0.07938255866370901,0.03001137047289688,0.023685838070695298,0.2668648621137303,0.04137742180770693,0.025750797829202744
Thick_B,0.035280643838435266,0.02503315977618964,0.02579062115001173,0.058766161968265195,0.028503191281948552,0.0242887055248426,0.13364379391845221,0.05298303087252888,0.05151294315801972,0.028624592275282988,0.02726479717920125,0.027888694267647833,0.023684628226957473,0.023972667391905837,0.02367379409023089,0.023496214896107884,0.023985120625412394,0.025344116398177036,0.04687332598362957,0.03715056703581797,0.02856684690852449,0.03763544790886607,0.033632205547794544,0.027963069914601003,0.054558763592508254,0.037926772927957444,0.03195612334068327
EC_C,0.001643002238687805,0.0012049213063224623,0.0011796041975253159,0.008082805993982676,0.0014021406494537422,0.001127836312593685,0.8085945572715696,0.01830570167058492,0.016067347862822764,0.0028201083560478214,0.0017963485938417584,0.0015585037985976383,0.0009108159949557264,0.0009679672014919549,0.0010913670904040041,0.0010242996575117516,0.0012232144678718231,0.0016347383119036164,0.011260825817429931,0.006438683161934335,0.0026392292260490153,0.028861017711609066,0.004183657767091115,0.002327606625534583,0.052088925676393824,0.015555454610042716,0.00600931842774629
