,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.053468527154578574,0.004124532556955744,0.002825439167290515,0.006399958864817047,0.0035974381709079546,0.003158369376110778,0.01008001948964,0.007130854266920355,0.005802298341164836,0.010020978971519335,0.008112344390481021,0.006216096411023714,0.002878744319673117,0.002808858411639433,0.0029234628904256437,0.003187670093042148,0.00285527408990006,0.0029289869934903488,0.5158380321695285,0.2844151516408574,0.014664921829997912,0.024328217532801743,0.007235078723569559,0.00432620607235974,0.004053937346679294,0.003236342746232566,0.0033822579783926387
Thick_A,0.0794352875001497,0.018884722223808333,0.016090721803982466,0.08355853472224624,0.022635488819215753,0.016163037931255737,0.047382668718359514,0.02698814271160712,0.023049014553457897,0.030471445462391594,0.024363687978606757,0.019505071293988506,0.01531902095825707,0.015377439314067095,0.015512675196144682,0.015507336770991462,0.014810753408774715,0.014550000685267761,0.17486024202092915,0.08782928774322828,0.04461846948576424,0.06731971566499564,0.03107355290850391,0.022019037480763715,0.028950868203599628,0.023022038237765892,0.020701738201877144
EC_B,0.022929198106805795,0.011492200086071233,0.01067381225632659,0.024664084083205702,0.013187573801245278,0.009963000068050665,0.06324066991739444,0.04636865867340887,0.050108122811017286,0.024420710755650006,0.016186524531749295,0.014389092280539023,0.010304578031071347,0.009761333542629775,0.010920098579758428,0.010275608867406251,0.010380181288139178,0.011802671572328356,0.0768537781157299,0.06437282480840363,0.02207645603458803,0.0775684459451623,0.031711919807905505,0.021069223521243748,0.2630675716444496,0.045271910238409444,0.026939750631310277
Thick_B,0.03464058989855277,0.02354460875452314,0.02455523234055762,0.05642852335177937,0.02774545307434904,0.02524327811988253,0.14373949785412518,0.04944676549560578,0.04851564230037549,0.030627330591866654,0.027583505632475823,0.027449409917935107,0.02380868667955958,0.022538025880250438,0.023431498815776594,0.023042620030111143,0.024294095800529998,0.026205086341783347,0.04562629905402118,0.03962136103392116,0.028730759716942268,0.039883954490180215,0.030008363256524062,0.026890915596536863,0.05805458774040352,0.03534742744900061,0.03299648078243057
EC_C,0.001845194048363339,0.00126180907117707,0.0011940471151232188,0.008319130198597244,0.0014733282670990346,0.001168972161809435,0.8091063133903607,0.01871694503769919,0.015821609789813056,0.0027856576336799167,0.0017076463533804288,0.0015663125697258056,0.0009908576611213468,0.0010169588471956675,0.00107969949473602,0.0009724318384884987,0.0011765092675084534,0.0017129449468237623,0.011159302495102545,0.006140864099786061,0.002553212777722309,0.0292392020814712,0.0038483503328129417,0.0024185073717462218,0.053702059175509964,0.012927385079314383,0.006094748893832251
