,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05390147807473146,0.00400055072895681,0.002761449763778492,0.004503028130532922,0.003824539782433414,0.0029352074960657315,0.01040176647794863,0.006673349516161375,0.005738595677382012,0.01018359423325754,0.007954538027504083,0.006108531929548579,0.0029899281456900947,0.0027743430063904726,0.002996781954998534,0.0031535027500298094,0.002869798851318347,0.0031929094660067526,0.5240236494512723,0.2768828784052963,0.015464671216593428,0.024085695554772957,0.007318912715094945,0.004861334674863256,0.0038046337291591245,0.003763737428432596,0.002830592811779932
Thick_A,0.07709978993387476,0.017429628564061918,0.01644588503810072,0.07644129022294065,0.023275751953319584,0.019327666513678045,0.04965897287365836,0.027452775376377702,0.022732470637885464,0.030106594197894264,0.024017214583270004,0.020665265091604608,0.015729254474816053,0.014624242041549806,0.016331370540035216,0.016217366958748997,0.014426038564598176,0.015999248563189596,0.1815108039614082,0.07943618542769827,0.046145603993379955,0.06455880682711371,0.03540600968936552,0.023491359770575447,0.029248551087849795,0.022810402795123322,0.019411450317881863
EC_B,0.024300753475085066,0.010866870065995213,0.010255275054613057,0.024276077603475065,0.01241948396533814,0.010440317175370667,0.06401756380557064,0.04888004165802363,0.04833061098727899,0.023470229191348498,0.018364093760874563,0.014037496119958501,0.010223765671160383,0.010051452012223275,0.010065845502545624,0.010201013053185718,0.010518732740665003,0.01247470891322423,0.07998961464437641,0.060854768150940305,0.022140226628632687,0.07899524836001384,0.030353282028804073,0.0221314814301992,0.25404213403104764,0.053608030707603525,0.024690883262446006
Thick_B,0.03307723775226225,0.025313941216887896,0.024516599672986614,0.05918196543361866,0.02801273953746185,0.024670851412090043,0.13592107796326208,0.05541212414570296,0.047577441863509554,0.02801881396336813,0.027574436805491813,0.029759629984735348,0.022628553792674252,0.023800178767408364,0.024071374396765304,0.02430982740714575,0.02391705147620665,0.02601854597491806,0.04756565657213389,0.03906271042934411,0.029155077454152457,0.03895667624098978,0.031833014311405713,0.02674338228295748,0.052792923822891046,0.038072788412553245,0.03203537890707677
EC_C,0.0015873663187117276,0.001255436961395644,0.0011756983387719532,0.00825076955613018,0.0012836804595410293,0.0010478614719313703,0.8094822705881329,0.019070506081424684,0.015438022539550239,0.0027141448849489092,0.0017967588272795605,0.0016012477532729476,0.001002043794425103,0.0009676788540391626,0.001063152186922423,0.001017688565732447,0.0012678588853763154,0.0017163598256956188,0.011172298414678572,0.005976594303166531,0.0025371295745383058,0.027948141030421886,0.004432451183702038,0.002269218074346301,0.0523791221060116,0.015724379425050658,0.005822119994801903
