,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05495233490353768,0.004157409654266602,0.0030972779804948236,0.005510393973453394,0.003256456619801136,0.0027833988424422903,0.009690061219461598,0.007086538738821773,0.00540307137483932,0.010786117744546587,0.007804413462178754,0.006055866061861345,0.0027184753559806717,0.0026137686435635044,0.0029590301274266977,0.002857825037085618,0.0027962208946353062,0.0028448780333233128,0.5869031624469967,0.21310779083600723,0.015593640245841265,0.02360504135305483,0.007846598831552837,0.004325000264971455,0.003701025537579805,0.004533998999204055,0.0030102028170714847
Thick_A,0.07407989843314758,0.018059446406084024,0.01566583782033897,0.0796044762587666,0.024998283008714314,0.015779818429999592,0.05010230892627121,0.028373795697645025,0.02236981779932138,0.03055455239355282,0.022615505752399144,0.01951624798038598,0.015784940519463542,0.014679019181876057,0.015400898076546063,0.01465939173186882,0.015388997876392705,0.01591456407838247,0.1706671379627857,0.09272662335214787,0.046705040319825815,0.06700709668255403,0.03075897526571601,0.024001508348293225,0.029736972838198577,0.024346708009353363,0.020502136849969092
EC_B,0.022505771317107834,0.01029732775937392,0.011034886862336132,0.023819780426715852,0.013091702127229914,0.01033126637318187,0.06740802532170005,0.049121982602241675,0.04464229055214056,0.02589480330921004,0.01666646509612535,0.012794089902143414,0.00988570560865788,0.010034851158762204,0.010344915450153978,0.010047886456035576,0.009441134154257272,0.011381961002030252,0.0805956886650634,0.058575593540828454,0.025355306160045072,0.07998253943504705,0.0340326270770418,0.019392216486894983,0.24787756645855413,0.05868042561838035,0.02676319107874105
Thick_B,0.03209311582727952,0.025266792883322592,0.025162264159404406,0.05960375814634068,0.028553775210036332,0.023335030909886218,0.13584798785751323,0.050539226950950214,0.04913923377680367,0.028931240186463498,0.029838907281215292,0.02860078859454753,0.024659886430190008,0.024058517259521413,0.023799754717185557,0.02352357818985309,0.023306323068744646,0.025162406110262686,0.046156759883761646,0.03753984170719711,0.0269686348558694,0.04206471324614423,0.033087661233312936,0.02686883913112137,0.056092404100340665,0.038844995749780925,0.03095356253295111
EC_C,0.0018736086510503375,0.0011624904007340943,0.0012017173733214824,0.008235351984127445,0.001370050231118469,0.0010265422547977555,0.8086958638386246,0.01857128964261197,0.01589774099593944,0.0025888050186486087,0.0018471188804178077,0.0014707270033792266,0.0009788927283921971,0.0009445807367834767,0.0009831011586383584,0.0010355461212334012,0.0012660033582037207,0.0015261567839361112,0.011978861276982056,0.005802279641880884,0.0025596542774674303,0.027932157028957245,0.003287371382902227,0.0021911655809377004,0.055211712889653056,0.01434975039676275,0.00601146036249809
