,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05532786294916301,0.004345617816178417,0.0028138229154522944,0.005304398075082995,0.0031409251870054286,0.0031076625353087224,0.010347709578210662,0.00714190439364219,0.005444884851671279,0.009683914199388698,0.008314833453410286,0.005578480941266539,0.002857331206529333,0.0028407465055902232,0.0026523423685437886,0.0029246640566473053,0.003002613075663069,0.003283110179978155,0.6155363310157752,0.1857748600302151,0.015144456612373708,0.02179583136543578,0.007390605968132255,0.00459671426103335,0.004527052753614714,0.0036809527066464813,0.0034403709980409445
Thick_A,0.07665604679781102,0.019326625508901945,0.016215224088472854,0.08117419433137617,0.022439591107034938,0.017663011141046396,0.048379917874119535,0.0281089600767213,0.020523108690299507,0.028858213285313832,0.023773852601164457,0.019569407703518397,0.015506565138081827,0.015181667465032342,0.014314845246291735,0.01493193405583913,0.014561731878984591,0.015062640331513943,0.17806087231102233,0.08263818538874115,0.04677188528409395,0.06783334505377972,0.03673007934831861,0.022256737856964214,0.02857154517523195,0.023510659786026022,0.0213791524742982
EC_B,0.022490141535158877,0.010042580339336556,0.01081912678588314,0.02540390283576611,0.012649722454400918,0.010067198800968985,0.06199555069901837,0.051727209421626084,0.04720730817597254,0.02509888158516897,0.016207920638675332,0.013680477198639332,0.010310140746961521,0.010059279489304091,0.009877491811770852,0.009994624711150823,0.010454208052926704,0.012295589206216834,0.0741897746959795,0.06546187683305202,0.02434285188294117,0.07942746874638432,0.030844782234461198,0.02127779768747909,0.2527617486149083,0.0573064233709078,0.024005921444940605
Thick_B,0.03209026351159995,0.024299401796758824,0.025608962911608645,0.05973395628837637,0.027014871444251264,0.024572339042066262,0.12582442004763647,0.06078204555915192,0.052849157205558064,0.030862282439369827,0.029811975747995267,0.027367166901559235,0.023088962273304207,0.022987391889100994,0.024080027703065065,0.023387656177371534,0.0241715770482665,0.026004393182163566,0.0471953361149521,0.03743979243040928,0.02817178655916445,0.04093510677648301,0.031106001823917918,0.027712353343176094,0.0551460364342792,0.03693497400851907,0.030821761339894994
EC_C,0.001693000243698433,0.001181646469071418,0.0012809093573152594,0.008399739128700904,0.0013860342711351416,0.0010653740175206356,0.8097715026048029,0.018489536071584694,0.016025966174302568,0.0026497221630829996,0.0016575739965035753,0.0015011807818537466,0.0009856882871772453,0.000980584246047125,0.0010957179802326498,0.0010057197298922892,0.0012190262591037116,0.001601848059386916,0.010922251436345086,0.006413969537027392,0.0026335264747322134,0.024953687012906033,0.003986635535468036,0.002368597911168901,0.05764076516993756,0.013274566713048936,0.005815230367953833
