,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05571328585943913,0.004190440078568642,0.002961488857267689,0.004944242059049175,0.0036448191410203626,0.0033360213130492053,0.009595971121525868,0.006858057031407362,0.006128544806445752,0.009917153604237863,0.008159066279196252,0.006141796750266404,0.0029213079238839266,0.002658961968544798,0.0028009960936118358,0.0028722341997163827,0.0028688108623429157,0.003072372958749097,0.6303785779432306,0.1709565336678116,0.01431058312872594,0.02230512442278044,0.007603049205312534,0.004532474261024048,0.004177867884567794,0.0036612686993198777,0.0032889498789045097
Thick_A,0.07297823378130411,0.017430816374958077,0.01694383604979204,0.07903599402646842,0.02306595456811688,0.01697577252202221,0.04757456957930396,0.029173307835787966,0.02389327513541078,0.030403777931033615,0.023080463704103382,0.019538285634540437,0.015288911758168966,0.015908561654631087,0.015581094615994884,0.015242661816563502,0.016016218064730397,0.014862259694367833,0.17307251129281634,0.09113225782110666,0.0434802487591627,0.06893662192126518,0.03466680659610648,0.022354878778867653,0.030141399819328275,0.023321015968210672,0.019900264295837515
EC_B,0.022461926004569307,0.011410862407580807,0.01092326289661541,0.02443337581184013,0.012934534347313786,0.010786613751911006,0.06386511463683506,0.04809832116285111,0.04864774224683929,0.026194651023120054,0.01587145108626198,0.014085009346003138,0.010764731357543727,0.010151881992889201,0.01013760169194234,0.009509854047928519,0.01044748684894408,0.011456586004669981,0.07991670657566448,0.06052984268424695,0.023627455292112905,0.08065136091729073,0.03119993632957226,0.021253169325158368,0.2555270281740574,0.04640620597517278,0.028707288061065112
Thick_B,0.030014479587341613,0.025721512427415806,0.025576125705071194,0.061134867782649274,0.028155368856088863,0.024328189177475305,0.13361123837691355,0.053541621385363024,0.04935507876988804,0.032079892055345234,0.028288342745804627,0.027214153488810205,0.023857655322425526,0.024337488855759763,0.025210789516318728,0.024647620303358857,0.02294718666825854,0.024544497235196566,0.04516047071885233,0.038248456992241116,0.028215495446497308,0.04114271641242556,0.03108164578417976,0.026065065051991677,0.053788434235308845,0.039851952768052604,0.03187965433096606
EC_C,0.0016224669019263098,0.001138394576146218,0.0012937786191588468,0.008569361867367157,0.0013291958349895701,0.0011389466563242812,0.8072758035570848,0.019370306259968918,0.016002047161174277,0.0027034214908533334,0.0019165368941867946,0.0015010171252442472,0.0010096096840806477,0.0009791984531027664,0.0009875710426467347,0.0010500933321650311,0.0012163038637202908,0.0017583335814121866,0.011144644254080727,0.006308119942734733,0.0026903509334829335,0.02922456979572425,0.003936806841650658,0.00251724991151733,0.05203480404592511,0.01505615517926164,0.006224912194070215
