,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.056949132218958476,0.003810301830110785,0.0029570045950714353,0.004629990204992147,0.003418583040486886,0.0029224954021567656,0.010098541690618487,0.0063410780391036465,0.005626110753300104,0.010704383190870345,0.008648854598918416,0.0069274415583239855,0.0028868608791834554,0.0025797511150746034,0.0027447977934232743,0.003366072134705693,0.0029493325719555335,0.0029119712680483285,0.44644468992753417,0.3521270056549409,0.014407922441487045,0.023502150426497215,0.006928310368392978,0.004454619778322104,0.004316594067235233,0.003623944308279621,0.0037220601420083627
Thick_A,0.0759788396135285,0.018211024776981933,0.016773648206543285,0.08464799318269862,0.020730667695384702,0.016753307188714758,0.04724566486550872,0.028576559625230025,0.024436620047245942,0.029677057976052697,0.024456286723366534,0.01982089513212154,0.016241321823965253,0.015893130329134985,0.01592242366941314,0.015598950777749828,0.015067962214236291,0.01626209768350479,0.16794762585311873,0.08819285950110892,0.04701604316811247,0.06728122471438473,0.029577619369965186,0.023578595906309778,0.030491729741073337,0.023232448804663918,0.020387401409881364
EC_B,0.02356906211173076,0.01135730118814729,0.010250410133828774,0.024768812975488684,0.01202573589308507,0.010287159408326618,0.06291543292279857,0.04543879905030807,0.05158516415297541,0.026378469883441214,0.017364791364743736,0.01341116826421237,0.010364365994894226,0.009896507729615577,0.010541535568716946,0.010323370915678125,0.010833706199728045,0.011802847187397766,0.0852642915871546,0.054625498311299904,0.022366341617349093,0.07855527597277097,0.031218429451669194,0.02088521713237604,0.2542069789968032,0.0503457943847756,0.029417531600684242
Thick_B,0.03377539283848693,0.023622600394290386,0.02485955886400781,0.05739452549844133,0.027332098769579326,0.023597560064606584,0.13786012327466673,0.05620362229984092,0.05089742043259109,0.029052734095440076,0.02749347863556078,0.027507431887522266,0.023824282470828212,0.02370279346751783,0.024319445977764396,0.022962911144069436,0.023263292393946297,0.02503430165726413,0.04507648195458418,0.035570908307706504,0.03112059920600671,0.04163264604654654,0.031030216956732443,0.028841186567359865,0.057950239706954274,0.03447310160170914,0.03160104548597588
EC_C,0.0017838623098828399,0.0011337766822878852,0.0012035418674081126,0.008170080940553897,0.0013225604560507293,0.0011032447755812392,0.8101411791731754,0.018336590292394577,0.01625025193617729,0.002863597712447671,0.0018477305744701088,0.0016361812776589785,0.0010428754357715434,0.000890730061348602,0.001049668266834761,0.0010143253164923943,0.0012623409785628766,0.0016491985039813542,0.011589888671402667,0.005896020822577425,0.002401764211498218,0.024672532493638915,0.003675888540261578,0.002274936070617667,0.055882946220190334,0.014726088196145662,0.006178198212587277
