,hcp_1.0_0.1,hcp_1.0_0.3,hcp_1.0_0.5,hcp_2.5_0.1,hcp_2.5_0.3,hcp_2.5_0.5,hcp_4.0_0.1,hcp_4.0_0.3,hcp_4.0_0.5,vcp_1.0_0.1,vcp_1.0_0.3,vcp_1.0_0.5,vcp_2.5_0.1,vcp_2.5_0.3,vcp_2.5_0.5,vcp_4.0_0.1,vcp_4.0_0.3,vcp_4.0_0.5,prp_1.0_0.1,prp_1.0_0.3,prp_1.0_0.5,prp_2.5_0.1,prp_2.5_0.3,prp_2.5_0.5,prp_4.0_0.1,prp_4.0_0.3,prp_4.0_0.5
EC_A,0.05437247692266679,0.0036806630961292467,0.0029271668263269705,0.005434198986183381,0.0032196385840093655,0.00282290002561096,0.010640133297063611,0.006842102988471909,0.0052813816364932166,0.00993197345712788,0.007929674644533778,0.006148947041069923,0.0029570651778041356,0.0026858103447143936,0.0028093672621125427,0.0027849795596750146,0.00288363200343295,0.0031325564042838224,0.6227700046950906,0.17959375186417378,0.015055411137622937,0.023435399776844095,0.007718158116339216,0.004300116726421175,0.003956302185672158,0.0033215161276563356,0.0033646711124698052
Thick_A,0.07437718935148849,0.019704569734133558,0.016146356547908112,0.08079614004839389,0.01914954913844404,0.01897371355689555,0.053182386180845385,0.026231975969734766,0.020958588638534136,0.02844591761684743,0.024179690904265923,0.018328357313735888,0.015590500442248818,0.015526511384339142,0.015270378083609959,0.015265443925796962,0.015284327979709444,0.015033914266186239,0.16670014362306398,0.10141668664209524,0.04296290614638666,0.06848438620245009,0.03351588382111863,0.02180639929646732,0.02852438523199492,0.02356981948193034,0.02057387847137503
EC_B,0.02248746064981346,0.01095589786028848,0.010117919444292831,0.021238439960076176,0.01348889560558372,0.010322651218648848,0.06667183273731767,0.04967809271551325,0.04425592197838028,0.025250239934825426,0.015856428309674906,0.013587185939704274,0.010872398817882318,0.010436577297580522,0.010476302167315859,0.01010804812460477,0.010595497071944068,0.011823925507861415,0.08329843803585368,0.059257683415844496,0.023490485260977835,0.08253866063599129,0.031999108409176316,0.02031774986046187,0.24948113696623136,0.05401915664495893,0.02737386542919588
Thick_B,0.03346902199435183,0.02504754083836595,0.025504461906842163,0.05698317039834756,0.028552984497758678,0.024979427233444172,0.13810401872093642,0.054872114267658825,0.04519078891850531,0.029377942025860415,0.029833957154006586,0.028146227464712504,0.023881901562969904,0.024105514043995566,0.023685362790966148,0.0229602308311747,0.022728569474459465,0.025316319419228323,0.04269333148399623,0.0432899740374552,0.02676067666544385,0.039764654351595555,0.029749370505193745,0.027425558007616868,0.057625885688906864,0.038616310601417,0.03133468511479015
EC_C,0.0016356585682688874,0.0011551834881284844,0.0011806850823129597,0.008061792183674763,0.0012871966049978708,0.0011343030758553115,0.8104262466332202,0.01866962637648812,0.015499877903911937,0.0028828940852554594,0.0018174460990374966,0.001481254761172389,0.000997506093142983,0.0009331660277743803,0.0011176451500621877,0.0009790103870038463,0.0011696273944693956,0.0016505154621311597,0.011107981529417393,0.006310370118201543,0.0027668138763622934,0.026976677532526992,0.003739700620652522,0.002466314800200073,0.05544891748624068,0.01351820502378718,0.005585383635703711
